Share,PTS,W/L%,seed,player_efficiency_rating,free_throw_attempt_rate,usage_percentage,win_shares_per_48_minutes,offensive_box_plus_minus,value_over_replacement_player
0.665,24.8,0.732,1.0,25.3,0.344,24.1,0.227,4.8,7.3
0.143,26.9,0.72,2.0,25.4,0.331,30.3,0.213,5.7,6.8
0.086,33.1,0.5,4.5,24.0,0.306,31.7,0.173,5.5,4.4
0.068,21.3,0.744,1.0,20.5,0.246,25.3,0.182,3.0,4.8
0.009,14.1,0.744,1.0,15.3,0.548,17.0,0.148,1.4,2.3
0.009,19.0,0.683,2.0,15.9,0.358,24.2,0.12,0.5,2.5
0.009,16.5,0.61,3.0,19.7,0.462,22.8,0.169,1.6,3.2
0.007,22.1,0.683,2.0,20.6,0.274,25.2,0.187,3.1,5.0
0.005,25.8,0.5,4.5,24.1,0.505,27.6,0.183,4.5,3.2
0.658,24.6,0.756,1.5,25.1,0.352,28.4,0.231,5.2,6.9
0.613,21.2,0.756,1.5,19.9,0.218,24.3,0.16,2.5,5.2
0.414,26.2,0.659,2.0,25.5,0.379,26.3,0.23,4.7,6.1
0.261,27.8,0.488,5.5,25.1,0.52,27.6,0.202,4.5,4.3
0.12,27.1,0.634,3.0,22.9,0.359,32.3,0.182,4.2,3.5
0.106,20.3,0.732,3.0,22.0,0.33,23.3,0.211,5.1,4.9
0.077,18.9,0.756,1.5,25.2,0.34,27.1,0.228,3.3,4.3
0.072,18.8,0.695,1.0,17.0,0.411,24.6,0.154,1.0,2.5
0.046,13.8,0.756,1.5,14.3,0.547,17.5,0.118,0.9,1.4
0.028,22.6,0.659,2.0,18.0,0.224,24.5,0.135,1.4,1.9
0.026,21.6,0.659,2.0,25.7,0.383,24.3,0.225,5.6,3.8
0.022,30.7,0.341,11.0,24.3,0.482,28.4,0.191,5.7,5.4
0.022,17.5,0.488,5.5,17.3,0.399,23.3,0.11,1.8,1.4
0.017,21.9,0.476,7.0,19.9,0.351,23.2,0.15,3.5,3.6
0.016,15.2,0.549,4.0,14.9,0.188,24.3,0.056,0.1,0.1
0.016,18.7,0.415,10.0,18.0,0.315,23.6,0.132,0.9,2.5
0.01,24.6,0.488,5.5,20.3,0.348,26.8,0.152,3.3,2.9
0.01,16.4,0.61,4.0,17.1,0.303,20.0,0.104,1.4,4.2
0.009,18.8,0.695,1.0,14.9,0.309,21.5,0.119,-0.3,1.0
0.009,18.9,0.549,5.0,18.4,0.501,23.1,0.156,2.4,2.7
0.007,17.1,0.659,2.0,15.5,0.208,21.8,0.089,0.3,1.0
0.006,17.9,0.549,5.0,21.7,0.652,18.5,0.208,3.1,4.5
0.006,14.3,0.732,3.0,19.7,0.387,21.8,0.185,2.5,2.6
0.004,9.4,0.659,2.0,12.2,0.228,13.5,0.092,-0.6,1.9
0.004,18.0,0.695,1.0,18.4,0.227,25.6,0.157,1.8,2.1
0.004,5.0,0.634,3.0,13.5,0.314,10.4,0.112,-1.4,1.8
0.004,5.0,0.634,3.0,17.4,0.31,22.9,0.112,0.1,0.6
0.004,13.5,0.756,1.5,20.1,0.46,20.8,0.217,2.7,3.5
0.004,24.5,0.341,9.0,17.5,0.215,26.9,0.091,1.9,1.3
0.004,17.7,0.634,3.0,19.4,0.441,26.1,0.164,2.6,1.6
0.001,13.3,0.732,3.0,15.1,0.212,21.1,0.108,-0.9,1.7
0.001,7.2,0.756,1.5,10.1,0.398,11.3,0.1,-2.1,0.9
0.735,31.1,0.561,5.0,26.8,0.454,29.9,0.218,6.2,5.5
0.588,22.9,0.768,1.0,22.6,0.269,25.2,0.205,4.4,6.4
0.294,24.4,0.707,2.0,25.9,0.377,28.1,0.229,6.0,6.8
0.19,19.9,0.768,1.0,22.6,0.287,25.5,0.19,2.6,3.7
0.167,23.4,0.634,2.0,21.8,0.274,28.5,0.171,4.1,5.2
0.159,32.3,0.585,3.0,24.2,0.323,35.0,0.182,5.4,4.2
0.146,19.8,0.671,3.0,20.1,0.539,21.0,0.216,3.9,5.1
0.097,18.6,0.695,1.0,22.9,0.418,20.1,0.207,4.9,7.0
